Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (fJ)
flop,sky90,16,8200,0.114344,266.5599975,259.258,725.9700560000001
priorityencoder,sky90,64,2999,0.33224000000000004,603.680011,115.541,40.533280000000005
mux4,sky90,16,1000,0.565966,219.520004,14.317,28.128510199999997
comparator,tsmc28,16,15000,0.07002900000000001,81.522,384.522,21.358845000000002
shiftleft,tsmc28,64,8435,0.12291400000000001,1006.488,5100.0,290.69161
csa,tsmc28,32,25854,0.040895,201.599998,1900.0,90.74600500000003
comparator,tsmc28,32,12631,0.085785,146.286,660.995,38.345895
priorityencoder,tsmc28,8,20000,0.043787000000000006,4.788,14.911,0.8345802200000001
mux8,tsmc28,16,13256,0.08118900000000001,86.814,421.512,25.330968000000002
mux8,tsmc28,64,11377,0.09005200000000001,507.653995,2410.0,107.79224400000001
flop,tsmc28,16,21528,0.048892,30.24,314.58,114.65173999999999
mux4,sky90,32,3802,0.262263,465.500009,150.568,139.26165300000002
add,tsmc28,64,1000,0.999562,189.126001,920.014,70.7689896
mux2,tsmc28,16,19440,0.05247,15.372,84.373,5.1473070000000005
add,tsmc28,8,14631,0.071617,39.06,231.044,16.1496335
mux8,tsmc28,64,11440,0.08783300000000001,503.369994,2330.0,102.14977900000001
add,tsmc28,16,11294,0.088519,85.428,437.897,31.512763999999997
mux4,tsmc28,16,5000,0.10381800000000001,28.224,95.979,4.1631018
flop,tsmc28,32,10000,0.048892000000000005,60.4799995,629.161,106.5161112
flop,tsmc28,8,19458,0.048892,15.12,157.268,51.8450768
mux2,sky90,32,4979,0.199898,374.360008,259.372,136.130538
mux8,tsmc28,32,12914,0.084496,175.517999,846.989,51.54256
shiftleft,sky90,8,4056,0.246212,260.680005,147.281,66.231028
add,sky90,64,2362,0.49665800000000004,2788.100054,911.951,1021.6255060000001
flop,sky90,32,8528,0.114344,533.119995,518.516,1509.91252
mux8,sky90,32,3345,0.327566,1058.400021,328.34,234.86482200000006
shiftleft,sky90,32,2500,0.39945200000000003,1400.420023,738.137,368.29474400000004
csa,tsmc28,128,20000,0.049745000000000004,467.586006,3330.0,177.58965000000003
shiftleft,tsmc28,64,8269,0.120883,967.427998,4980.0,272.8329309999999
csa,tsmc28,8,30000,0.040226,50.4,473.168,25.664187999999996
csa,tsmc28,8,26848,0.040227,52.416,489.192,23.653476000000005
shiftleft,sky90,64,2158,0.463338,3501.540059,2250.0,1004.5167840000003
mux8,tsmc28,8,14256,0.072923,96.641998,446.639,20.637209000000002
mult,sky90,8,1000,0.999357,1330.840019,338.111,571.632204
mux2,sky90,64,4391,0.242165,487.060007,132.876,169.99983
priorityencoder,tsmc28,32,15000,0.06654600000000001,44.226,135.239,6.5414718
mux2,sky90,128,3840,0.261333,1384.740006,832.661,489.21537599999994
priorityencoder,sky90,16,6098,0.169395,166.600002,113.104,29.813519999999997
mux2,sky90,8,6951,0.188351,63.700001,21.541,25.276704199999998
add,tsmc28,16,10000,0.099541,61.236,299.915,23.591217
shiftleft,sky90,16,3086,0.323947,634.060009,424.832,185.62163099999998
flop,sky90,32,7544,0.114345,533.119995,518.516,1335.6639449999998
mux8,tsmc28,64,10518,0.09489,292.319999,1420.0,80.37183
mux2,tsmc28,128,17948,0.057885000000000006,210.924,1240.0,63.15253500000002
mux8,sky90,64,2759,0.362152,1951.180036,531.802,383.51896800000003
comparator,tsmc28,8,17750,0.05673,36.918,186.638,9.81429
mux2,sky90,8,6820,0.18835200000000002,63.700001,21.541,24.805958399999998
flop,sky90,16,8046,0.114344,266.5599975,259.258,712.36312
csa,tsmc28,64,10000,0.067577,137.087997,458.434,38.99192899999999
priorityencoder,sky90,8,7057,0.141364,47.040001,23.417,10.178208
add,tsmc28,16,12695,0.088543,116.55,703.496,50.38096699999999
mux2,sky90,16,4352,0.216401,114.660002,40.216,40.120745400000004
mux2,tsmc28,8,29634,0.033745,16.758,114.564,5.436319499999999
