design,area,area,area,area,area,area,area,delay,delay,delay,delay,delay,delay,delay,energy,energy,energy,energy,energy,energy,energy
design,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4
drsu_f_ieee_rv64gc_tsmc28nm_100_MHz,1.775591986,1.998863985,2.568509982,3.9044879769999996,1.782395984,2.1391019809999996,3.144707974,0.530928,0.983115,1.879080,3.753553,0.682410,1.331992,2.837434,9.36e-10,9.7e-10,1.1e-09,1.4199999999999999e-09,9.31e-10,9.73e-10,1.2e-09
drsu_fd_ieee_rv64gc_tsmc28nm_100_MHz,3.749759971,4.257035968,5.206319963,7.100981956,3.673151967,4.3797599609999995,5.812001953,0.872067,1.533786,2.779030,5.129519,0.971938,1.766076,3.513643,1.9100000000000002e-09,2.0100000000000003e-09,2.18e-09,2.55e-09,1.85e-09,1.95e-09,2.18e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_100_MHz,7.98877794,8.986571936,10.935539925999999,15.213743907,7.8102359329999995,9.268811921000001,12.4968059,1.399898,2.234388,3.865068,6.721900,1.576273,2.979023,5.933065,4.04e-09,4.1999999999999996e-09,4.58e-09,5.420000000000001e-09,3.9e-09,4.13e-09,4.6400000000000005e-09
mdudiv_idiv_bitspercycle_rv64gc_tsmc28nm_100_MHz,1.553201991,1.767275989,2.1976919870000002,4.388706011999999,1.767275989,2.1976919870000002,4.388706011999999,1.994694,3.921505,7.798797,3.029722,3.921505,7.798797,3.029722,1.01e-09,1.02e-09,1.08e-09,1.3400000000000001e-09,1.02e-09,1.08e-09,1.3400000000000001e-09
drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,5.1812459959999995,5.696711994,7.322363992,8.960363998,5.363945988,6.11011799,8.501093985999999,0.284795,0.422290,0.596330,0.965832,0.412207,0.559563,0.765350,1.6472e-09,1.7314e-09,1.9982e-09,2.4822e-09,1.7225999999999998e-09,1.8136e-09,2.227e-09
drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,8.703953984,9.311273993,10.63591199,12.680135986,8.556281981,9.442439979000001,12.06424799,0.322472,0.456788,0.655619,0.932180,0.414343,0.622845,0.766011,2.65e-09,2.761e-09,2.9896e-09,3.4171999999999997e-09,2.6148e-09,2.728e-09,3.2030000000000002e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz_IDIV,16.340561966,17.887337977999998,20.607929964,25.996949976,16.212041963,18.801719955,23.987375956,0.313979,0.492686,0.740520,0.992438,0.508015,0.748805,0.809967,4.8422e-09,5.078199999999999e-09,5.3914e-09,6.3746e-09,4.7152000000000004e-09,5.0252e-09,5.7252e-09
MDU_drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz,4.017635986,4.795811989000001,6.343721990000001,10.671191987,4.7796839890000005,6.459767987000001,10.298105982,0.301744,0.36973,0.508572,0.95266,0.325552,0.508572,0.95266,1.3715999999999999e-09,1.4825999999999998e-09,1.7542e-09,2.4242e-09,1.4374e-09,1.6525999999999999e-09,2.2874e-09
MDU_drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz,7.841105968,8.828819969000001,11.252807967,14.884631973000001,7.827875965,10.058957962000001,14.061221974000002,0.311826,0.40985,0.510072,0.958861,0.373265,0.508572,0.95266,2.3472e-09,2.4778e-09,2.8192000000000004e-09,3.4589999999999997e-09,2.3478e-09,2.543e-09,3.2485999999999997e-09
MDU_drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz,14.926715925,15.727319947,20.486465935,26.185445956,14.588531929,17.886203914,22.894955948000003,0.330602,0.446972,0.583101,0.977668,0.461435,0.541933,0.95266,4.2714e-09,4.478e-09,4.987e-09,6.2244e-09,4.1968e-09,4.4404e-09,5.4572e-09
