design,area,timing,power
drsu_fdq_ieee_div_2_1i_rv32gc_orig_tsmc28nm_100_MHz,10520.243956,1.404351,0.483
drsu_fdq_ieee_div_2_1i_rv32gc_orig_tsmc28nm_5000_MHz,16340.561966,0.313979,24.211
drsu_fdq_ieee_div_2_1i_rv64gc_orig_tsmc28nm_100_MHz,10984.049962,1.198993,0.527
drsu_fdq_ieee_div_2_1i_rv64gc_orig_tsmc28nm_5000_MHz,17458.685974,0.308997,25.797
drsu_fdq_ieee_div_2_1_rv32gc_orig_tsmc28nm_100_MHz,7988.777940,1.399898,0.404
drsu_fdq_ieee_div_2_1_rv32gc_orig_tsmc28nm_5000_MHz,13942.403928,0.330602,18.932
drsu_fdq_ieee_div_2_1_rv64gc_orig_tsmc28nm_100_MHz,7988.777940,1.399898,0.404
drsu_fdq_ieee_div_2_1_rv64gc_orig_tsmc28nm_5000_MHz,13592.627928,0.330646,18.903
drsu_fdq_ieee_div_2_2i_rv32gc_orig_tsmc28nm_100_MHz,11676.671952,2.050259,0.515
drsu_fdq_ieee_div_2_2i_rv32gc_orig_tsmc28nm_5000_MHz,17887.337978,0.492686,25.391
drsu_fdq_ieee_div_2_2i_rv64gc_orig_tsmc28nm_100_MHz,12106.457957,2.014927,0.559
drsu_fdq_ieee_div_2_2i_rv64gc_orig_tsmc28nm_5000_MHz,18601.757987,0.516333,26.793
drsu_fdq_ieee_div_2_2_rv32gc_orig_tsmc28nm_100_MHz,8986.319936,2.062258,0.419
drsu_fdq_ieee_div_2_2_rv32gc_orig_tsmc28nm_5000_MHz,14251.859948,0.446972,19.709
drsu_fdq_ieee_div_2_2_rv64gc_orig_tsmc28nm_100_MHz,8986.571936,2.234388,0.420
drsu_fdq_ieee_div_2_2_rv64gc_orig_tsmc28nm_5000_MHz,14561.063939,0.446930,19.534
drsu_fdq_ieee_div_2_4i_rv32gc_orig_tsmc28nm_100_MHz,13709.303940,3.430090,0.555
drsu_fdq_ieee_div_2_4i_rv32gc_orig_tsmc28nm_5000_MHz,20607.929964,0.740520,26.957
drsu_fdq_ieee_div_2_4i_rv64gc_orig_tsmc28nm_100_MHz,14151.437945,3.865830,0.604
drsu_fdq_ieee_div_2_4i_rv64gc_orig_tsmc28nm_5000_MHz,21529.493964,0.763382,29.182
drsu_fdq_ieee_div_2_4_rv32gc_orig_tsmc28nm_100_MHz,10934.783926,4.147681,0.458
drsu_fdq_ieee_div_2_4_rv32gc_orig_tsmc28nm_5000_MHz,18091.457934,0.583101,21.812
drsu_fdq_ieee_div_2_4_rv64gc_orig_tsmc28nm_100_MHz,10935.539926,3.865068,0.458
drsu_fdq_ieee_div_2_4_rv64gc_orig_tsmc28nm_5000_MHz,18006.533929,0.586606,21.688
drsu_fdq_ieee_div_2_8i_rv32gc_orig_tsmc28nm_100_MHz,18234.593924,7.074033,0.654
drsu_fdq_ieee_div_2_8i_rv32gc_orig_tsmc28nm_5000_MHz,25996.949976,0.992438,31.873
drsu_fdq_ieee_div_2_8i_rv64gc_orig_tsmc28nm_100_MHz,18727.631930,7.306949,0.704
drsu_fdq_ieee_div_2_8i_rv64gc_orig_tsmc28nm_5000_MHz,26813.051966,0.985349,34.278
drsu_fdq_ieee_div_2_8_rv32gc_orig_tsmc28nm_100_MHz,15213.743907,6.889462,0.542
drsu_fdq_ieee_div_2_8_rv32gc_orig_tsmc28nm_5000_MHz,21677.543958,0.977668,26.742
drsu_fdq_ieee_div_2_8_rv64gc_orig_tsmc28nm_100_MHz,15213.743907,6.721900,0.542
drsu_fdq_ieee_div_2_8_rv64gc_orig_tsmc28nm_5000_MHz,21314.159945,0.994714,26.574
drsu_fdq_ieee_div_4_1i_rv32gc_orig_tsmc28nm_100_MHz,10424.609949,1.581433,0.480
drsu_fdq_ieee_div_4_1i_rv32gc_orig_tsmc28nm_5000_MHz,16212.041963,0.508015,23.576
drsu_fdq_ieee_div_4_1i_rv64gc_orig_tsmc28nm_100_MHz,10890.179954,1.581433,0.525
drsu_fdq_ieee_div_4_1i_rv64gc_orig_tsmc28nm_5000_MHz,16810.415971,0.499961,25.543
drsu_fdq_ieee_div_4_1_rv32gc_orig_tsmc28nm_100_MHz,7810.109933,1.576273,0.390
drsu_fdq_ieee_div_4_1_rv32gc_orig_tsmc28nm_5000_MHz,13113.071930,0.461435,18.303
drsu_fdq_ieee_div_4_1_rv64gc_orig_tsmc28nm_100_MHz,7810.235933,1.576273,0.390
drsu_fdq_ieee_div_4_1_rv64gc_orig_tsmc28nm_5000_MHz,12865.229929,0.473153,18.333
drsu_fdq_ieee_div_4_2i_rv32gc_orig_tsmc28nm_100_MHz,11960.297934,2.981811,0.508
drsu_fdq_ieee_div_4_2i_rv32gc_orig_tsmc28nm_5000_MHz,18801.719955,0.748805,25.126
drsu_fdq_ieee_div_4_2i_rv64gc_orig_tsmc28nm_100_MHz,12422.591940,2.984379,0.550
drsu_fdq_ieee_div_4_2i_rv64gc_orig_tsmc28nm_5000_MHz,19407.905953,0.741040,27.451
drsu_fdq_ieee_div_4_2_rv32gc_orig_tsmc28nm_100_MHz,9268.811921,2.979222,0.413
drsu_fdq_ieee_div_4_2_rv32gc_orig_tsmc28nm_5000_MHz,15491.195913,0.541933,19.079
drsu_fdq_ieee_div_4_2_rv64gc_orig_tsmc28nm_100_MHz,9268.811921,2.979023,0.413
drsu_fdq_ieee_div_4_2_rv64gc_orig_tsmc28nm_5000_MHz,15133.229917,0.550970,19.125
drsu_fdq_ieee_div_4_4i_rv32gc_orig_tsmc28nm_100_MHz,15220.925911,5.939034,0.564
drsu_fdq_ieee_div_4_4i_rv32gc_orig_tsmc28nm_5000_MHz,23987.375956,0.809967,28.626
drsu_fdq_ieee_div_4_4i_rv64gc_orig_tsmc28nm_100_MHz,15480.863913,5.936208,0.607
drsu_fdq_ieee_div_4_4i_rv64gc_orig_tsmc28nm_5000_MHz,24781.175949,0.809571,30.972
drsu_fdq_ieee_div_4_4_rv32gc_orig_tsmc28nm_100_MHz,12496.175900,5.933083,0.464
drsu_fdq_ieee_div_4_4_rv32gc_orig_tsmc28nm_5000_MHz,18387.053950,0.780194,22.906
drsu_fdq_ieee_div_4_4_rv64gc_orig_tsmc28nm_100_MHz,12496.805900,5.933065,0.464
drsu_fdq_ieee_div_4_4_rv64gc_orig_tsmc28nm_5000_MHz,18337.787943,0.776923,22.988
drsu_f_ieee_div_2_1i_rv32gc_orig_tsmc28nm_100_MHz,3084.983984,0.621725,0.162
drsu_f_ieee_div_2_1i_rv32gc_orig_tsmc28nm_5000_MHz,5181.245996,0.284795,8.236
drsu_f_ieee_div_2_1i_rv64gc_orig_tsmc28nm_100_MHz,5995.079975,0.909526,0.301
drsu_f_ieee_div_2_1i_rv64gc_orig_tsmc28nm_5000_MHz,9857.861985,0.308583,15.711
drsu_f_ieee_div_2_1_rv32gc_orig_tsmc28nm_100_MHz,1775.591986,0.530928,9.36e-02
drsu_f_ieee_div_2_1_rv32gc_orig_tsmc28nm_5000_MHz,3033.323989,0.301744,4.433
drsu_f_ieee_div_2_1_rv64gc_orig_tsmc28nm_100_MHz,1775.591986,0.530928,9.36e-02
drsu_f_ieee_div_2_1_rv64gc_orig_tsmc28nm_5000_MHz,3281.921992,0.300902,4.487
drsu_f_ieee_div_2_2i_rv32gc_orig_tsmc28nm_100_MHz,3461.975982,1.127821,0.173
drsu_f_ieee_div_2_2i_rv32gc_orig_tsmc28nm_5000_MHz,5696.711994,0.422290,8.657
drsu_f_ieee_div_2_2i_rv64gc_orig_tsmc28nm_100_MHz,6663.509971,1.406063,0.317
drsu_f_ieee_div_2_2i_rv64gc_orig_tsmc28nm_5000_MHz,10719.953993,0.464331,16.158
drsu_f_ieee_div_2_2_rv32gc_orig_tsmc28nm_100_MHz,1998.863985,0.983144,9.70e-02
drsu_f_ieee_div_2_2_rv32gc_orig_tsmc28nm_5000_MHz,3320.351990,0.369730,4.732
drsu_f_ieee_div_2_2_rv64gc_orig_tsmc28nm_100_MHz,1998.863985,0.983115,9.70e-02
drsu_f_ieee_div_2_2_rv64gc_orig_tsmc28nm_5000_MHz,3262.643989,0.385986,4.653
drsu_f_ieee_div_2_4i_rv32gc_orig_tsmc28nm_100_MHz,4239.647978,2.136837,0.191
drsu_f_ieee_div_2_4i_rv32gc_orig_tsmc28nm_5000_MHz,7322.363992,0.596330,9.991
drsu_f_ieee_div_2_4i_rv64gc_orig_tsmc28nm_100_MHz,7999.109964,2.987292,0.346
drsu_f_ieee_div_2_4i_rv64gc_orig_tsmc28nm_5000_MHz,13000.427975,0.641653,18.048
drsu_f_ieee_div_2_4_rv32gc_orig_tsmc28nm_100_MHz,2568.509982,1.879080,0.110
drsu_f_ieee_div_2_4_rv32gc_orig_tsmc28nm_5000_MHz,3948.713989,0.500001,5.648
